word,semantic_dissimilarity
di,0.3099978566169739
elefante,0.28739044070243835
Elefante,0.3039849102497101
si,0.24496078491210938
mette,0.3042351007461548
in,0.3249504566192627
cammino,0.2592439353466034
marciano,0.35000690817832947
nel,0.2739744186401367
deserto,0.27704739570617676
e,0.19702351093292236
poi,0.20151600241661072
guadano,0.36799654364585876
il,0.2170613408088684
fiume,0.22780251502990723
E,0.2861185073852539
poi,0.19261693954467773
all',0.290130615234375
improvviso,0.3774445056915283
zigzagano,0.3985113799571991
per,0.3201325535774231
il,0.31557154655456543
bosco,0.32003355026245117
La,0.2763242721557617
tana,0.37147852778434753
di,0.2794303894042969
Orso,0.36667346954345703
tutti,0.23507589101791382
dentro,0.24875974655151367
BADABUM,0.330136775970459
SPATAPAM,0.2725965082645416
BEDEBENG,0.3084188997745514
BIDIBONG,0.2418266087770462
Tic,0.3233563005924225
Finalmente,0.3089092969894409
Orso,0.42715004086494446
Volpe,0.3953658640384674
Talpa,0.3445919454097748
Rospo,0.3209221065044403
e,0.22742396593093872
Formica,0.37301158905029297
sono,0.34292709827423096
tutti,0.316453754901886
insieme,0.3331122398376465
a,0.28599822521209717
casa,0.255665123462677
di,0.25129008293151855
Orso,0.419943243265152
ma,0.2442014217376709
Elefante,0.32373836636543274
dov',0.4453226327896118
è,0.23097556829452515
Guardano,0.3768785893917084
in,0.33479630947113037
alto,0.2558112144470215
e,0.2292940616607666
vedono,0.21722710132598877
solo,0.22590655088424683
una,0.18274056911468506
lunga,0.27432727813720703
proboscide,0.4060966372489929
Non,0.35147297382354736
passo,0.3687921166419983
dal,0.2960468530654907
buco,0.34722980856895447
urla,0.3022705316543579
Elefante,0.31831857562065125
Orso,0.4045785963535309
Volpe,0.3742806613445282
Talpa,0.33448484539985657
Rospo,0.3173809051513672
e,0.23265767097473145
Formica,0.34332039952278137
si,0.3317830562591553
mettono,0.37105584144592285
a,0.3346119523048401
scavare,0.40238621830940247
e,0.2790871262550354
scava,0.315977543592453
scava,0.24766069650650024
scava,0.17803525924682617
ecco,0.3901657462120056
che,0.339921236038208
riescono,0.3590521216392517
ad,0.35080230236053467
allargare,0.3344094157218933
il,0.2486528754234314
buco,0.2239457666873932
ma,0.19258850812911987
Elefante,0.36385419964790344
è,0.19648468494415283
ancora,0.18501806259155273
troppo,0.23965519666671753
grande,0.19446194171905518
Si,0.28446608781814575
vede,0.22271472215652466
solo,0.20835399627685547
la,0.23324930667877197
testa,0.23507094383239746
Allora,0.36301422119140625
decidono,0.3196032643318176
di,0.23793506622314453
uscire,0.25807952880859375
tutti,0.2488006353378296
quanti,0.35117244720458984
dalla,0.3108997344970703
