sentence_ids,tokens_no_punct,lemma_no_punct,PoS,depparse,head,constituency,AoA(m+sd),Zipf_freq
36,ad,a,ADP,mark,acchiappare,,,5.934389877
36,acchiappare,acchiappare,VERB,xcomp,andiamo,,4.84 ± 1.52,2.911082533
36,le,il,DET,det,mosche,,,6.624997683
36,mosche,Mosca,NOUN,obj,acchiappare,,,3.732502474
36,,,PUNCT,punct,andiamo,,,
37,,,PUNCT,root,ROOT,,,
37,,,PUNCT,punct,>,,,
37,,,PUNCT,punct,>,,,
38,il,il,DET,det,ragno,,,7.039560886
38,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
38,ragno,ragno,NOUN,nsubj,tace,,4.48 ± 0.96,3.818289087
38,tace,tacere,VERB,root,ROOT,,,2.829412487
38,e,e,CCONJ,cc,….,,,2.741151583
38,…,…,X,conj,tace,,,
38,zac,Zac,PROPN,vocative,tace,,,3.232315915
38,,,PUNCT,punct,tace,,,
39,ha,avere,AUX,aux,acchiappato,,,6.684018637
39,già,già,ADV,advmod,acchiappato,,,6.015979163
39,acchiappato,acchiappare,VERB,root,ROOT,,4.84 ± 1.52,2.781987837
39,una,uno,DET,det,mosca,,,6.801817508
39,mosca,mosca,NOUN,obj,acchiappato,,4.28 ± 1.54,1.491953226
39,,,PUNCT,punct,acchiappato,,,
40,allora,allora,ADV,advmod,arriva,,,6.072527547
40,arriva,arrivare,VERB,root,ROOT,,,4.940504965
40,la,il,DET,det,civetta,,,7.055331658
40,civetta,civetta,NOUN,nsubj,arriva,,,3.173194463
40,,,PUNCT,punct,dice,,,
40,e,e,CCONJ,cc,dice,,,2.741151583
40,dice,dire,VERB,conj,arriva,,4.08 ± 1.73,5.609257672
40,,,SYM,discourse,arriva,,,
40,,,PUNCT,punct,Uhuuu,,,
40,uhuuu,Uhuuu,INTJ,discourse,arriva,,,1.19092323
40,,,PUNCT,punct,Uhuuu,,,
41,chi,chi,PRON,nsubj,fatto,,,6.108444494
41,ha,avere,AUX,aux,fatto,,,6.684018637
41,fatto,fare,VERB,root,ROOT,,4.40 ± 2.22,6.237129549
41,quella,quello,DET,det,ragnatela,,,5.939281839
41,bella,bello,ADJ,amod,ragnatela,,3.80 ± 2.35,5.484893151
41,ragnatela,ragnatela,NOUN,obj,fatto,,,3.110001322
41,,,PUNCT,punct,fatto,,,
42,,,PUNCT,root,ROOT,,,
42,,,PUNCT,punct,>,,,
42,,,PUNCT,punct,>,,,
43,e,e,CCONJ,cc,tace,,,2.741151583
43,il,il,DET,det,ragno,,,7.039560886
43,piccolo,piccolo,ADJ,amod,ragno,,4.12 ± 3.18,5.291431625
43,ragno,ragno,NOUN,nsubj,tace,,4.48 ± 0.96,3.818289087
43,tace,tacere,VERB,root,ROOT,,,2.829412487
43,,,PUNCT,punct,dorme,,,
43,dorme,dormire,VERB,conj,tace,,3.08 ± 1.29,4.289566956
43,già,già,ADV,advmod,dorme,,,6.015979163
43,da,da,ADP,case,po',,,6.577812618
43,un,uno,DET,det,po',,,7.065833912
43,po,poco,ADV,advmod,dorme,,,4.399095757
43,,,PUNCT,punct,giornata,,,
43,è,essere,AUX,aux,giornata,,,7.249521761
43,stata,essere,AUX,cop,giornata,,,5.783216598
43,una,uno,DET,det,giornata,,,6.801817508
43,dura,duro,ADJ,amod,giornata,,4.68 ± 2.34,4.766572845
43,giornata,giornata,NOUN,conj,tace,,,5.003101004
43,di,di,ADP,case,lavoro,,,7.232814475
43,lavoro,lavoro,NOUN,nmod,giornata,,6.28 ± 3.34,5.810397445
43,,,PUNCT,punct,tace,,,
